N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,M3
0.0001,0.0001,0.0001,0.0001,10.53390403,0.02,0.0001,0.001,0.0001,5.5e-05,0.0200275,0.004033,0.0001199999999999,0.020175,STOP
0.0001,0.0001,0.649087802,10.53380403,10.53390403,0.2,0.0001,0.0001,9.49e-06,3.686851411,2.043425705,2.252110846,2.755848608,6.642700018999999,RAISE
0.0201,0.0011,1.034308225,9.884816224,10.53390403,0.012323901,0.4001,0.3001,0.0616189209999999,3.463705678,1.74417674,2.080688187,3.01127147,6.487301049,RAISE
0.0401,0.0021,1.751680904,9.499595801,10.53390403,0.020927212,0.8001,0.6001,0.098188499,3.33287853,1.687366477,2.003912561,3.651600064,7.005405807000001,RAISE
0.0391,0.0031,1.967624957,8.782223122000001,10.53390403,0.036879062,1.2001,0.9001,0.166289811,3.081598093,1.5776781080000002,1.856334668,3.724069581,6.842546736,RAISE
0.0381,0.0041,2.871807084,8.566279069,10.53390403,0.044809268,1.6001,1.2001,0.186789717,3.005817674,1.547718105,1.812452458,4.585062898,7.63568984,RAISE
0.0371,0.0051,3.35589153,7.662096942000001,10.53390403,0.067049113,2.0001,1.5001,0.272625142,2.68915393,1.411626078,1.62690218,4.888310918,7.644513961,RAISE
0.0361,0.0061,3.898252029,7.178012496,10.53390403,0.087597209,2.4001,1.8001,0.318580037,2.519524374,1.347359396,1.529234066,5.333854528,7.940976111,RAISE
0.0351,0.0071,4.8440422960000005,6.635651997,10.53390403,0.108616474,2.8001,2.1001,0.3700671679999999,2.329498199,1.273365573,1.419422214,6.171172695,8.609287368,RAISE
0.0341,0.0081,4.876059222,5.68986173,10.53390403,0.1460004919999999,3.2001,2.4001,0.459852518,1.998271606,1.145136295,1.228163062,6.014031567999999,8.158303666,RAISE
0.0331,0.0091,5.462252895,5.657844804,10.53390403,0.1713946469999999,3.6001,2.7001,0.462891935,1.986865681,1.164827488,1.226398338,6.593821856,8.752082183999999,RAISE
