Index,Cluster
568,0
567,1
566,1
565,1
564,1
563,1
562,1
561,0
560,0
559,0
558,0
557,0
556,0
555,0
554,0
553,0
552,0
551,0
550,0
549,0
548,0
547,0
546,0
545,0
544,0
543,0
542,0
541,0
540,0
539,0
538,0
537,0
536,0
535,1
534,0
533,1
532,0
531,0
530,0
529,0
528,0
527,0
526,0
525,0
524,0
523,0
522,0
521,1
520,0
519,0
518,0
517,1
516,1
515,0
514,0
513,0
512,1
511,0
510,0
509,1
508,0
507,0
506,0
505,0
504,0
503,1
502,0
501,1
500,0
499,1
498,1
497,0
496,0
495,0
494,0
493,0
492,1
491,0
490,0
489,0
488,0
487,1
486,0
485,1
484,0
483,0
482,0
481,0
480,0
479,1
478,0
477,0
476,0
475,0
474,0
473,0
472,0
471,0
470,0
469,0
468,1
467,0
466,0
465,1
464,0
463,0
462,0
461,1
460,1
459,0
458,0
457,0
456,0
455,0
454,0
453,0
452,0
451,1
450,0
449,1
448,0
447,0
446,1
445,0
444,0
443,0
442,0
441,1
440,0
439,0
438,0
437,0
436,0
435,0
434,0
433,1
432,1
431,0
430,1
429,0
428,0
427,0
426,0
425,0
424,0
423,0
422,0
421,1
420,0
419,0
418,0
417,1
416,0
415,0
414,0
413,0
412,0
411,0
410,0
409,0
408,1
407,0
406,0
405,0
404,0
403,0
402,0
401,0
400,1
399,0
398,0
397,0
396,0
395,0
394,0
393,1
392,1
391,0
390,0
389,1
388,0
387,0
386,0
385,0
384,0
383,0
382,0
381,0
380,0
379,1
378,0
377,0
376,1
375,0
374,0
373,1
372,1
371,0
370,1
369,1
368,1
367,0
366,1
365,1
364,0
363,0
362,0
361,0
360,0
359,0
358,0
357,0
356,0
355,0
354,0
353,1
352,1
351,1
350,0
349,0
348,0
347,0
346,0
345,0
344,0
343,1
342,0
341,0
340,0
339,1
338,0
337,1
336,0
335,1
334,0
333,0
332,0
331,0
330,1
329,1
328,1
327,0
326,0
325,0
324,0
323,1
322,0
321,1
320,0
319,0
318,1
317,1
316,0
315,0
314,0
313,0
312,0
311,0
310,0
309,0
308,0
307,0
306,0
305,0
304,0
303,0
302,1
301,0
300,1
299,0
298,0
297,0
296,0
295,0
294,0
293,0
292,0
291,0
290,1
289,0
288,0
287,0
286,0
285,0
284,0
283,1
282,1
281,0
280,1
279,0
278,0
277,0
276,0
275,0
274,0
273,0
272,1
271,0
270,0
269,0
268,0
267,0
266,0
265,1
264,1
263,0
262,1
261,0
260,1
259,1
258,1
257,1
256,1
255,0
254,1
253,1
252,1
251,0
250,1
249,0
248,0
247,0
246,0
245,0
244,1
243,0
242,1
241,0
240,0
239,1
238,0
237,1
236,1
235,0
234,0
233,1
232,0
231,0
230,1
229,1
228,0
227,0
226,0
225,0
224,0
223,1
222,0
221,0
220,0
219,1
218,1
217,0
216,0
215,1
214,1
213,1
212,1
211,0
210,1
209,0
208,0
207,0
206,0
205,0
204,0
203,1
202,1
201,1
200,0
199,1
198,1
197,1
196,1
195,0
194,1
193,1
192,0
191,0
190,1
189,0
188,0
187,0
186,0
185,0
184,0
183,0
182,0
181,1
180,1
179,0
178,0
177,1
176,0
175,0
174,0
173,0
172,1
171,0
170,0
169,0
168,1
167,1
166,0
165,0
164,1
163,0
162,1
161,1
160,0
159,0
158,0
157,0
156,1
155,0
154,0
153,0
152,1
151,0
150,0
149,0
148,0
147,0
146,1
145,0
144,0
143,0
142,0
141,1
140,0
139,0
138,1
137,0
136,0
135,0
134,1
133,0
132,1
131,1
130,0
129,1
128,1
127,1
126,0
125,0
124,0
123,0
122,1
121,1
120,0
119,0
118,1
117,1
116,0
115,0
114,0
113,0
112,1
111,0
110,0
109,0
108,1
107,0
106,0
105,1
104,0
103,0
102,0
101,0
100,0
99,0
98,0
97,0
96,0
95,1
94,1
93,0
92,0
91,0
90,0
89,1
88,0
87,1
86,0
85,1
84,0
83,1
82,1
81,1
80,0
79,0
78,1
77,1
76,0
75,1
74,0
73,0
72,1
71,0
70,1
69,0
68,1
67,0
66,0
65,1
64,1
63,0
62,1
61,0
60,0
59,0
58,0
57,1
56,1
55,0
54,0
53,1
52,0
51,0
50,0
49,0
48,0
47,1
46,0
45,1
44,0
43,0
42,1
41,0
40,0
39,0
38,0
37,0
36,1
35,1
34,1
33,1
32,1
31,1
30,1
29,1
28,1
27,1
26,1
25,1
24,1
23,1
22,1
21,0
20,0
19,0
18,1
17,1
16,0
15,1
14,1
13,0
12,1
11,1
10,0
9,1
8,1
7,1
6,1
5,1
4,1
3,1
2,1
1,1
0,1
