Index,Cluster
0,0
1,0
2,0
3,1
4,2
5,0
6,0
7,0
8,1
9,0
10,3
11,1
12,2
13,0
14,0
15,0
16,0
17,1
18,2
19,0
20,2
21,0
22,0
23,2
24,2
25,1
26,0
27,0
28,1
29,2
30,0
31,2
32,0
33,2
34,0
35,1
36,0
37,0
38,1
39,3
40,1
41,1
42,0
43,2
44,0
45,0
46,2
47,0
48,2
49,0
50,0
51,3
52,2
53,3
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,2
66,0
67,0
68,0
69,3
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,2
78,2
79,1
80,0
81,1
82,2
83,0
84,3
85,0
86,2
87,2
88,0
89,1
90,3
91,1
92,2
93,0
94,1
95,3
96,2
97,0
98,1
99,0
100,2
101,1
102,0
103,0
104,0
105,0
106,2
107,1
108,0
109,3
110,0
111,0
112,0
113,0
114,0
115,3
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,3
125,0
126,3
127,2
128,0
129,0
130,0
131,1
132,3
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,2
142,2
143,2
144,0
145,0
146,0
147,0
148,3
149,2
150,1
151,0
152,0
153,0
154,2
155,0
156,0
157,1
158,0
159,0
160,1
161,0
162,0
163,0
164,2
165,3
166,0
167,1
168,1
169,0
170,1
171,0
172,0
173,3
174,1
175,1
176,0
177,0
178,2
179,2
180,0
181,0
182,0
183,2
184,0
185,0
186,3
187,0
188,0
189,0
190,0
191,2
192,0
193,1
194,2
195,2
196,0
197,1
198,0
199,0
200,0
201,3
202,1
203,0
204,1
205,3
206,1
207,2
208,0
209,0
210,0
211,2
212,0
213,3
214,2
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,3
224,0
225,0
226,1
227,0
228,0
229,2
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,3
238,0
239,3
240,2
241,1
242,0
243,0
244,2
245,1
246,0
247,1
248,0
249,3
250,1
251,0
252,0
253,3
254,1
255,0
256,1
257,2
258,3
259,0
260,0
261,0
262,0
263,2
264,0
265,3
266,0
267,0
268,0
269,2
270,1
271,3
272,0
273,0
274,0
275,3
276,0
277,0
278,0
279,3
280,0
281,0
282,2
283,0
284,0
285,1
286,1
287,0
288,0
289,2
290,2
291,0
292,2
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,3
302,0
303,1
304,0
305,0
306,0
307,3
308,3
309,0
310,0
311,2
312,0
313,1
314,1
315,0
316,2
317,0
318,0
319,0
320,0
321,0
322,3
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,2
331,2
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,2
340,0
341,0
342,2
343,1
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,2
352,0
353,3
354,3
355,0
356,0
357,0
358,2
359,0
360,0
361,0
362,2
363,0
364,0
365,1
366,1
367,2
368,0
369,1
370,0
371,3
372,2
373,2
374,2
375,1
376,1
377,0
378,1
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,3
393,0
394,3
395,2
396,0
397,0
398,1
399,1
400,2
401,0
402,3
403,1
404,3
405,0
406,0
407,1
408,2
409,1
410,0
411,0
412,0
413,2
414,3
415,0
416,0
417,1
418,1
419,2
420,1
421,0
422,0
423,0
424,0
425,3
426,2
427,2
428,2
429,3
430,0
431,0
432,1
433,3
434,1
435,2
436,1
437,3
438,2
439,3
440,2
441,0
442,0
443,0
444,0
445,3
446,0
447,0
448,0
449,0
450,1
451,0
452,2
453,0
454,2
455,0
456,0
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,2
466,0
467,2
468,0
469,0
470,1
471,0
472,1
473,0
474,3
475,0
476,1
477,0
478,0
479,0
480,1
481,0
482,2
483,2
484,3
485,1
486,0
487,3
488,1
489,1
490,2
491,0
492,0
493,0
494,1
495,0
496,2
497,0
498,1
499,0
500,2
501,0
502,0
503,0
504,1
505,0
506,0
507,2
508,3
509,0
510,2
511,0
512,2
513,0
514,0
515,3
516,0
517,0
518,0
519,0
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,1
529,1
530,0
531,0
