,Demand
2017-01-01,98789.86473213104
2017-01-02,104392.08263728567
2017-01-03,112125.78997467796
2017-01-04,114364.85885350374
2017-01-05,116175.28757804594
2017-01-06,111935.9830407841
2017-01-07,107691.49932608512
2017-01-08,111109.37122061313
2017-01-09,105684.17270940493
2017-01-10,100489.25217926793
2017-01-11,105641.5968721103
2017-01-12,107970.66445369433
2017-01-13,108912.90447343643
2017-01-14,107416.6327106996
2017-01-15,107002.86304575781
2017-01-16,106358.57609033024
2017-01-17,110531.31016314877
2017-01-18,110294.47428660105
2017-01-19,106434.22975324592
2017-01-20,107905.22189870942
2017-01-21,110619.24397406398
2017-01-22,107433.31877210316
2017-01-23,104047.115066246
2017-01-24,102657.7412406017
2017-01-25,103479.32101643433
2017-01-26,104137.52158436367
2017-01-27,106261.22109363695
2017-01-28,107077.08997828783
2017-01-29,111226.41985668342
2017-01-30,109991.14549075026
