Index,Cluster
0,0
1,0
2,1
3,2
4,1
5,0
6,2
7,0
8,0
9,0
10,0
11,2
12,1
13,2
14,2
15,0
16,2
17,1
18,0
19,3
20,1
21,0
22,0
23,3
24,2
25,1
26,0
27,2
28,1
29,2
30,0
31,2
32,2
33,0
34,2
35,0
36,0
37,0
38,3
39,0
40,1
41,0
42,1
43,2
44,0
45,0
46,1
47,2
48,1
49,2
50,2
51,0
52,2
53,2
54,0
55,0
56,0
57,0
58,2
59,0
60,0
61,2
62,1
63,1
64,0
65,0
66,2
67,2
68,1
69,0
70,2
71,0
72,0
73,0
74,2
75,2
76,2
77,0
78,1
79,0
80,0
81,0
82,0
83,2
84,0
85,2
86,0
87,2
88,2
89,2
90,3
91,2
92,0
93,0
94,0
95,0
96,3
97,1
98,0
99,0
100,0
101,0
102,2
103,0
104,1
105,0
106,0
107,2
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,2
118,1
119,2
120,2
121,2
122,0
123,2
124,2
125,2
126,0
127,1
128,1
129,0
130,1
131,0
132,2
133,3
134,0
135,0
136,2
137,0
138,0
139,0
140,2
141,2
142,0
143,0
144,0
145,0
146,2
147,2
148,0
149,2
150,0
151,0
152,0
153,1
154,0
155,2
156,0
157,2
158,1
159,0
160,1
161,0
162,2
163,1
164,0
165,0
166,1
167,1
168,0
169,2
170,0
171,0
172,0
173,0
174,0
175,0
176,2
177,2
178,2
179,0
180,1
181,2
182,0
183,2
184,0
185,2
186,2
187,1
188,1
189,0
190,0
191,1
192,2
193,0
194,1
195,2
196,0
197,1
198,0
199,1
200,0
201,2
202,3
203,0
204,2
205,0
206,0
207,1
208,1
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,3
217,0
218,1
219,2
220,2
221,0
222,0
223,2
224,2
225,0
226,2
227,0
228,2
229,2
230,0
231,0
232,0
233,2
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,3
242,2
243,0
244,2
245,1
246,0
247,2
248,2
249,2
250,0
251,3
252,2
253,0
254,2
255,3
256,1
257,2
258,2
259,2
260,0
261,0
262,0
263,1
264,2
265,0
266,2
267,0
268,1
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,2
283,0
284,2
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,2
296,0
297,0
298,1
299,2
300,0
301,2
302,2
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,2
311,0
312,1
313,0
314,1
315,1
316,1
317,1
318,1
319,2
320,2
321,0
322,2
323,2
324,0
325,0
326,0
327,0
328,2
329,1
330,2
331,0
332,2
333,0
334,2
335,0
336,2
337,2
338,0
339,0
340,1
341,0
342,2
343,0
344,3
345,0
346,2
347,1
348,2
349,0
350,0
351,0
352,2
353,0
354,2
355,1
356,0
357,0
358,2
359,0
360,0
361,2
362,0
363,0
364,2
365,2
366,0
367,2
368,0
369,2
370,0
371,2
372,2
373,2
374,0
375,2
376,1
377,0
378,1
379,0
380,0
381,2
382,0
383,1
384,2
385,2
386,2
387,0
388,1
389,0
390,2
391,2
392,2
393,1
394,2
395,2
396,1
397,2
398,2
399,4
400,0
401,2
402,0
403,2
404,0
405,0
406,0
407,1
408,3
409,2
410,0
411,2
412,0
413,2
414,2
415,0
416,2
417,0
418,0
419,0
420,0
421,2
422,1
423,0
424,0
425,1
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,2
435,0
436,0
437,0
438,0
439,0
440,2
441,3
442,0
443,0
444,1
445,1
446,0
447,0
448,2
449,0
450,2
451,0
452,0
453,0
454,2
455,0
456,0
457,1
458,2
459,2
460,0
461,0
462,0
463,2
464,2
465,0
466,3
467,2
468,1
469,0
470,0
471,0
472,1
473,0
474,0
475,0
476,3
477,2
478,0
479,3
480,0
481,0
482,0
483,0
484,2
485,1
486,0
487,1
488,1
489,3
490,2
491,2
492,2
493,0
494,2
495,0
496,2
497,2
498,0
499,2
500,0
501,0
502,2
503,2
504,1
505,2
506,0
507,2
508,1
509,2
510,0
511,2
512,2
513,1
514,0
515,2
516,2
517,2
518,2
519,3
520,0
521,2
522,0
523,3
524,0
525,0
526,1
527,2
528,2
529,2
530,2
531,2
