Index,Cluster
0,0
1,2
2,2
3,2
4,0
5,2
6,0
7,1
8,2
9,0
10,0
11,2
12,2
13,0
14,2
15,0
16,2
17,0
18,2
19,0
20,0
21,2
22,0
23,2
24,2
25,0
26,2
27,0
28,2
29,0
30,2
31,0
32,0
33,2
34,2
35,0
36,2
37,0
38,2
39,0
40,2
41,0
42,0
43,2
44,0
45,2
46,0
47,2
48,0
49,2
50,0
51,2
52,0
53,2
54,0
55,2
56,0
57,2
58,0
59,2
60,0
61,2
62,0
63,2
64,0
65,2
66,0
67,2
68,0
69,2
70,0
71,2
72,0
73,2
74,0
75,2
76,0
77,2
78,0
79,2
80,0
81,0
82,2
83,0
84,2
85,2
86,0
87,2
88,0
89,2
90,0
91,2
92,0
93,2
94,0
95,2
96,0
97,2
98,0
99,2
100,0
101,2
102,0
103,2
104,0
105,2
106,0
107,2
108,0
109,2
110,0
111,2
112,0
113,2
114,0
115,2
116,0
117,2
118,0
119,2
120,0
121,2
122,0
123,2
124,0
125,2
126,0
127,2
128,0
129,2
130,0
131,2
132,0
133,2
134,0
135,2
136,0
137,2
138,0
139,2
140,0
141,0
142,2
143,2
144,0
145,2
146,0
147,5
148,4
149,4
150,5
151,4
152,5
153,2
154,4
155,5
156,4
157,5
158,4
159,5
160,4
161,5
162,4
163,4
164,5
165,5
166,4
167,2
168,4
169,5
170,4
171,5
172,4
173,5
174,4
175,5
176,4
177,2
178,4
179,2
180,4
181,4
182,5
183,5
184,4
185,5
186,4
187,4
188,5
189,4
190,5
191,5
192,4
193,5
194,4
195,4
196,5
197,5
198,4
199,5
200,4
201,2
202,4
203,5
204,4
205,4
206,5
207,4
208,5
209,5
210,4
211,5
212,4
213,4
214,5
215,3
216,1
217,3
218,1
219,1
220,3
221,3
222,1
223,3
224,1
225,3
226,1
227,3
228,1
229,3
230,1
231,3
232,1
233,3
234,1
235,1
236,3
237,3
238,1
239,3
240,1
241,1
242,3
243,1
244,1
245,3
246,3
247,1
248,3
249,1
250,3
251,1
252,3
253,1
254,3
255,1
256,3
257,1
258,1
259,3
260,3
261,1
262,3
263,1
264,3
265,1
266,3
267,1
268,3
269,1
270,3
271,1
272,3
273,1
274,3
275,1
276,3
277,1
278,3
279,1
280,1
281,3
282,1
283,3
284,1
285,1
286,3
287,3
288,1
289,3
290,1
291,3
292,1
293,3
294,1
295,3
296,1
297,3
298,1
299,3
300,1
301,3
302,1
303,3
304,1
305,3
306,1
307,3
308,1
309,1
310,3
311,3
312,1
313,3
314,1
315,3
316,1
317,1
318,3
319,1
320,3
321,1
322,3
323,1
324,3
325,1
326,3
327,1
328,3
329,1
330,3
331,3
332,1
333,3
334,1
