Index,Cluster
0,0
1,1
2,1
3,1
4,2
5,1
6,-1
7,-1
8,1
9,-1
10,-1
11,1
12,1
13,-1
14,1
15,-1
16,-1
17,0
18,1
19,2
20,-1
21,1
22,0
23,1
24,-1
25,0
26,-1
27,-1
28,1
29,0
30,1
31,-1
32,2
33,-1
34,-1
35,2
36,1
37,2
38,-1
39,2
40,1
41,2
42,0
43,1
44,-1
45,1
46,2
47,1
48,2
49,-1
50,2
51,1
52,2
53,1
54,2
55,1
56,-1
57,1
58,2
59,1
60,2
61,1
62,0
63,1
64,2
65,-1
66,2
67,1
68,-1
69,1
70,2
71,1
72,2
73,1
74,2
75,1
76,-1
77,1
78,-1
79,1
80,-1
81,2
82,1
83,2
84,1
85,-1
86,-1
87,1
88,2
89,1
90,-1
91,1
92,2
93,-1
94,2
95,1
96,-1
97,-1
98,2
99,-1
100,0
101,-1
102,2
103,1
104,-1
105,-1
106,-1
107,1
108,2
109,-1
110,2
111,1
112,-1
113,1
114,2
115,1
116,-1
117,-1
118,2
119,1
120,2
121,1
122,2
123,1
124,-1
125,1
126,-1
127,1
128,-1
129,1
130,2
131,1
132,2
133,1
134,2
135,1
136,-1
137,-1
138,-1
139,1
140,0
141,2
142,1
143,1
144,2
145,1
146,2
147,3
148,4
149,4
150,-1
151,4
152,3
153,-1
154,4
155,-1
156,4
157,3
158,4
159,3
160,4
161,3
162,4
163,-1
164,-1
165,3
166,-1
167,-1
168,-1
169,-1
170,4
171,3
172,4
173,-1
174,4
175,3
176,-1
177,-1
178,-1
179,-1
180,4
181,4
182,-1
183,3
184,-1
185,-1
186,-1
187,-1
188,3
189,4
190,3
191,-1
192,4
193,-1
194,-1
195,-1
196,-1
197,-1
198,4
199,3
200,4
201,-1
202,4
203,3
204,4
205,4
206,-1
207,4
208,3
209,3
210,-1
211,-1
212,4
213,4
214,-1
215,5
216,6
217,5
218,6
219,6
220,5
221,5
222,6
223,5
224,6
225,5
226,6
227,5
228,6
229,5
230,6
231,5
232,-1
233,5
234,6
235,6
236,5
237,5
238,6
239,5
240,6
241,6
242,5
243,6
244,6
245,5
246,5
247,-1
248,5
249,6
250,5
251,-1
252,5
253,-1
254,5
255,6
256,5
257,-1
258,6
259,5
260,5
261,6
262,-1
263,6
264,5
265,-1
266,5
267,6
268,5
269,6
270,5
271,6
272,5
273,6
274,5
275,6
276,5
277,-1
278,5
279,6
280,6
281,5
282,6
283,5
284,6
285,6
286,5
287,5
288,6
289,5
290,6
291,5
292,-1
293,5
294,6
295,5
296,6
297,5
298,6
299,5
300,-1
301,5
302,6
303,5
304,6
305,5
306,6
307,5
308,6
309,6
310,5
311,5
312,6
313,5
314,-1
315,5
316,6
317,6
318,5
319,6
320,5
321,6
322,5
323,6
324,5
325,6
326,5
327,-1
328,-1
329,6
330,5
331,5
332,6
333,5
334,6
