Index,Cluster
0,1
1,4
2,4
3,4
4,1
5,4
6,1
7,0
8,4
9,1
10,1
11,4
12,4
13,1
14,4
15,5
16,4
17,1
18,4
19,1
20,1
21,4
22,1
23,4
24,4
25,1
26,4
27,1
28,4
29,1
30,4
31,1
32,1
33,4
34,4
35,1
36,4
37,1
38,4
39,1
40,4
41,1
42,1
43,4
44,1
45,4
46,1
47,4
48,1
49,4
50,1
51,4
52,1
53,4
54,1
55,4
56,1
57,4
58,1
59,4
60,1
61,4
62,1
63,4
64,1
65,4
66,1
67,4
68,5
69,4
70,1
71,4
72,1
73,4
74,1
75,4
76,1
77,4
78,1
79,4
80,1
81,1
82,4
83,1
84,4
85,4
86,1
87,4
88,1
89,4
90,1
91,4
92,1
93,4
94,1
95,4
96,1
97,4
98,1
99,4
100,1
101,4
102,1
103,4
104,1
105,4
106,1
107,4
108,1
109,4
110,1
111,4
112,1
113,4
114,1
115,4
116,1
117,4
118,1
119,4
120,1
121,4
122,1
123,4
124,1
125,4
126,1
127,4
128,1
129,4
130,1
131,4
132,1
133,4
134,1
135,4
136,1
137,4
138,1
139,4
140,1
141,1
142,4
143,4
144,1
145,4
146,1
147,2
148,5
149,5
150,2
151,5
152,2
153,2
154,5
155,2
156,5
157,2
158,5
159,2
160,5
161,2
162,5
163,5
164,2
165,2
166,5
167,4
168,5
169,2
170,5
171,2
172,5
173,2
174,5
175,2
176,5
177,4
178,5
179,2
180,5
181,5
182,2
183,2
184,5
185,2
186,5
187,5
188,2
189,5
190,2
191,2
192,5
193,2
194,5
195,5
196,2
197,2
198,5
199,2
200,5
201,2
202,5
203,2
204,5
205,5
206,2
207,5
208,2
209,2
210,5
211,2
212,5
213,5
214,2
215,3
216,0
217,3
218,0
219,0
220,3
221,3
222,0
223,3
224,0
225,3
226,0
227,3
228,0
229,3
230,0
231,3
232,0
233,3
234,0
235,0
236,3
237,3
238,0
239,3
240,0
241,0
242,3
243,0
244,0
245,3
246,3
247,0
248,3
249,0
250,3
251,0
252,3
253,0
254,3
255,0
256,3
257,0
258,0
259,3
260,3
261,0
262,3
263,0
264,3
265,0
266,3
267,0
268,3
269,0
270,3
271,0
272,3
273,0
274,3
275,0
276,3
277,0
278,3
279,0
280,0
281,3
282,0
283,3
284,0
285,0
286,3
287,3
288,0
289,3
290,0
291,3
292,0
293,3
294,0
295,3
296,0
297,3
298,0
299,3
300,0
301,3
302,0
303,3
304,0
305,3
306,0
307,3
308,0
309,0
310,3
311,3
312,0
313,3
314,0
315,3
316,0
317,0
318,3
319,0
320,3
321,0
322,3
323,0
324,3
325,0
326,3
327,0
328,3
329,0
330,3
331,3
332,0
333,3
334,0
